n,id,titulo_limpo,outlet,source_type,related_term,data,tinha_cdata,pista_subcadeia,CLASSIFICACAO_rotulo_certo_S_N_D,NOTAS
89,2d37c349-c84a-470e-a832-4f608e1a8233,Vacina do sarampo causa autismo? É falso,Observador Fact Check,factcheck,sarampo surto,2025-02-22,nao,termo[:6]='saramp',,
90,e8852f45-67b4-45b4-8a0e-118703728096,"""Todos sabem que vai ser uma época difícil. Ainda não ganhámos nada""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-14,sim,,,
91,d32e1479-43ed-47b7-a4c9-85d2d956d470,Iniciativa para combater a solidão de mulheres imigrantes promove piquenique,Diário de Notícias,media,solidão,2026-09-07,nao,termo[:6]='solida',,
92,674a6261-fb57-4167-9e20-408b916ab968,"Liga Europa arranca com Benfica, AC Milan e Juventus entre os candidatos",Notícias ao Minuto,media,candidíase,2026-09-13,sim,termo[:6]='candid',,
93,4d7524eb-4b93-4552-a59d-d5a8b65c4595,Webinar &#8211; Zona Sul,SP Acidente Vascular Cerebral,institucional,avc,2025-09-24,nao,,,
94,6b8a9a00-d640-4ea7-b1fe-eeaeddac2389,"Chegar, ver e marcar. Eis o primeiro golo de Cristiano Ronaldo esta época",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-21,sim,,,
95,25ed1cd9-6247-430c-b1f1-4576ee41e4a3,Aumentam os casos de Mpox: Portugal com 40 novas infeções,RTP,media,mpox portugal,2025-03-03,nao,termo[:4]='mpox',,
96,a6bf5272-1dbe-49e8-b291-803e0b0686de,Burnout atinge níveis recorde entre profissionais de saúde,RTP,media,burnout,2025-02-20,nao,termo[:6]='burnou',,
97,cb25f821-44ee-4189-81df-178b4ba5fb7d,"Harrison Ford revela a sua luta contra a depressão: ""Estava doente""",Notícias ao Minuto,media,depressão,2026-04-10,sim,termo[:6]='depres',,
98,098af0b1-42cb-4900-85b5-64513e7590ac,Fase de Apresentação de Candidaturas do SAD 2026/176 – Cadeiras de rodas e outros equipamentos,SPMS,institucional,candidíase,2026-03-26,nao,termo[:6]='candid',,
99,0552b2b4-9223-4759-9db1-243bcf39fb93,Mpox transmite-se pelo ar? Verificação de factos,Polígrafo,factcheck,mpox portugal,2025-03-04,nao,termo[:5]='mpox ',,
100,78c3020c-4699-4283-9166-83bed72621f3,Prisão preventiva para ex-candidato do Chega suspeito de pedofilia,RTP,media,candidíase,2026-03-24,nao,termo[:6]='candid',,
