n,id,titulo_limpo,outlet,source_type,related_term,data,CLASSIFICACAO_rotulo_certo_S_N_D,NOTAS
70.0,e5faef78-de18-4025-8566-bc269aade1da,“Vamos ficar de olhos abertos”: Comissão Europeia promove campanha pelos direitos das vítimas de crime,APAV,institucional,síndrome do ovário poliquístico,2026-08-12,S,RELATED TERM NAO RELACIONADO COM APAV
71.0,842cd1d8-3639-4085-8d4e-7fc017b96524,O vício do turismo tem cura: o caso de Dubrovnik,Público,media,dependências,2026-04-04,D,
72.0,ae109aba-e33b-4847-8549-78146d597147,Demência. O sinal que pode aparecer muito antes da perda de memória,Notícias ao Minuto,media,demência,2026-09-07,S,
73.0,849f228a-53b6-4b3b-b6c3-c027082091b7,A camisola não faz o líder,Observador,media,candidíase,2026-08-09,N,
74.0,72aa9179-09a6-4fc6-b5fa-b98394775697,DGS publica novas orientações sobre saúde mental,DGS,institucional,ansiedade,2025-02-01,S,
75.0,2cf7be07-3693-43b8-ac99-63004a2c0c52,6 alimentos 'maus' que pode (e deve) comer para reduzir o stress,Notícias ao Minuto,media,stress,2026-09-05,S,
76.0,f4849815-ee02-4347-98c8-5693f82d78c8,Poluição do ar em Lisboa ultrapassa limites da OMS,TSF,media,poluição e saúde,2025-03-12,S,
77.0,4c6b737b-d125-4ba7-8fb7-6ef675b9a639,Amasso total. Bilbao dá primeira derrota da época ao Atlético de Madrid,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-09-05,N,
78.0,f8fc15f0-92b2-40b9-8641-b6eb2cf4c57b,SPPCV lança Bolsa de Investigação 2026 com prémio de cinco mil euros,Sociedade Portuguesa Patologia Coluna Vertebral,institucional,candidíase,2026-01-21,S,RELATED TERM AO LADO
79.0,69959f00-6714-4cad-b7ef-28f89548e2e5,Mulher de Jair Bolsonaro candidata ao Senado brasileiro,Observador,media,candidíase,2026-08-03,N,
80.0,441d481b-6373-4093-bcdc-8fa70854d6fd,Colesterol alto? Estatinas: perigosas ou essenciais?,Observador,media,colesterol alto,2026-03-30,S,
81.0,9be355b1-bf73-43d1-bc4f-d4a264759b95,"Gravidez. ""Descobri mutação genética. Fazia com que o sangue coagulasse""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-09-14,S,
82.0,84a95909-62bf-459c-9e2e-503a473a2d10,Mau tempo. Há 34 mil candidaturas para apoios para reconstrução de casas,Notícias ao Minuto,media,candidíase,2026-04-08,N,
83.0,97a5ec29-a8e3-4100-b40d-3279598eefc7,"Sépsis. ""Diagnóstico pode ser desafiante. Não existe um único sintoma""",Notícias ao Minuto,media,sepsis,2026-09-14,S,
84.0,601dc35c-e34e-4f85-ae79-fddd87cd4dbc,PRR já desembolsou 14.721 milhões de euros e candidaturas aprovadas dispararam para 406.684,Diário de Notícias,media,candidíase,2026-09-09,N,
85.0,b0b5127e-eb5a-4e90-a7c9-7fe1087bdb07,Abertura de concurso a financiamento público para projetos na área da alimentação escolar,Nutrimento (PNPAS),institucional,candidíase,2025-09-15,S,
86.0,f67792b7-9c62-4b36-a412-211b925e51cf,Estudo revela aumento de 40% nos casos de ansiedade em jovens portugueses,Público,media,ansiedade,2025-01-15,S,
87.0,8a8ece24-fadf-40ce-acb6-d90c94e0511c,"AR ouve na sexta-feira Tiago Antunes, candidato a Provedor de Justiça",Notícias ao Minuto,media,candidíase,2026-04-08,N,
88.0,ecee223f-2474-476d-a63c-ffbc840d88a9,Resumo do 1.º dia,Sociedade Portuguesa de Cardiologia,institucional,perturbações do espectro do autismo,2026-09-10,D,
89.0,2d37c349-c84a-470e-a832-4f608e1a8233,Vacina do sarampo causa autismo? É falso,Observador Fact Check,factcheck,sarampo surto,2025-02-22,S,
90.0,e8852f45-67b4-45b4-8a0e-118703728096,"""Todos sabem que vai ser uma época difícil. Ainda não ganhámos nada""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-14,N,
91.0,d32e1479-43ed-47b7-a4c9-85d2d956d470,Iniciativa para combater a solidão de mulheres imigrantes promove piquenique,Diário de Notícias,media,solidão,2026-09-07,S,
92.0,674a6261-fb57-4167-9e20-408b916ab968,"Liga Europa arranca com Benfica, AC Milan e Juventus entre os candidatos",Notícias ao Minuto,media,candidíase,2026-09-13,N,
93.0,4d7524eb-4b93-4552-a59d-d5a8b65c4595,Webinar &#8211; Zona Sul,SP Acidente Vascular Cerebral,institucional,avc,2025-09-24,D,
94.0,6b8a9a00-d640-4ea7-b1fe-eeaeddac2389,"Chegar, ver e marcar. Eis o primeiro golo de Cristiano Ronaldo esta época",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-21,N,
95.0,25ed1cd9-6247-430c-b1f1-4576ee41e4a3,Aumentam os casos de Mpox: Portugal com 40 novas infeções,RTP,media,mpox portugal,2025-03-03,S,
96.0,a6bf5272-1dbe-49e8-b291-803e0b0686de,Burnout atinge níveis recorde entre profissionais de saúde,RTP,media,burnout,2025-02-20,S,
97.0,cb25f821-44ee-4189-81df-178b4ba5fb7d,"Harrison Ford revela a sua luta contra a depressão: ""Estava doente""",Notícias ao Minuto,media,depressão,2026-04-10,S,
98.0,098af0b1-42cb-4900-85b5-64513e7590ac,Fase de Apresentação de Candidaturas do SAD 2026/176 – Cadeiras de rodas e outros equipamentos,SPMS,institucional,candidíase,2026-03-26,D,
99.0,0552b2b4-9223-4759-9db1-243bcf39fb93,Mpox transmite-se pelo ar? Verificação de factos,Polígrafo,factcheck,mpox portugal,2025-03-04,S,
100.0,78c3020c-4699-4283-9166-83bed72621f3,Prisão preventiva para ex-candidato do Chega suspeito de pedofilia,RTP,media,candidíase,2026-03-24,N,
