created_at,date,id,keyword_id,outlet,related_term,source_type,title,url
2026-08-25T06:00:08.032206+00:00,2026-08-22,315e787f-f1dc-45bd-9a82-b8c7ef251f38,,Notícias ao Minuto,terapia hormonal,media,<![CDATA[Human Rigths Watch critica condenação de ativistas em Hong Kong]]>,https://www.noticiasaominuto.com/mundo/3039989/human-rigths-watch-critica-condenacao-de-ativistas-em-hong-kong#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-05-28T06:00:53.91538+00:00,2026-05-13,317d043e-8c54-4bec-8c70-a75dd7b8b6b1,,SP Psiquiatria e Saúde Mental,candidíase,institucional,CNP’26: Call for Abstracts – Prazo de candidaturas prolongado até 15 de junho de 2026,https://www.sppsm.org/cnp26-call-for-abstracts-prazo-de-candidaturas-prolongado-ate-15-de-junho-de-2026/
2026-06-13T06:00:06.992468+00:00,2026-06-13,31d48e24-1ea5-49f4-867a-54635db86119,,Público,perturbação obsessivo-compulsiva,media,EUA demoliram o murete do Paraguai com um banho de bola,https://www.publico.pt/2026/06/13/desporto/cronica_de_jogo/eua-demoliram-murete-paraguai-banho-bola-2178083
2026-08-05T06:00:09.012108+00:00,2026-08-04,31dddee3-8dda-4bf4-9813-7c6688f82134,,Observador,candidíase,media,Seis membros da família Bolsonaro candidatos às eleições,https://observador.pt/2026/08/04/seis-membros-da-familia-bolsonaro-surgem-como-candidatos-nas-eleicoes-gerais-no-brasil/
2026-08-23T06:00:14.075723+00:00,2026-08-20,31f3dd28-dba9-4f95-909b-3a5cf7595a33,,Notícias ao Minuto,candidíase,media,<![CDATA[Miss Universo Tailândia: Candidatas inovam com vestidos de pratos típicos]]>,https://www.noticiasaominuto.com/lifestyle/3039265/miss-universo-tailandia-candidatas-inovam-com-vestidos-de-pratos-tipicos#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-15T06:00:11.370737+00:00,2026-08-14,3211eb7c-de40-4666-87c1-9232d9a1884e,,Notícias ao Minuto,candidíase,media,<![CDATA[Ex-ministra Janine Lélis retira candidatura à presidência de Cabo Verde]]>,https://www.noticiasaominuto.com/mundo/3036658/ex-ministra-janine-lelis-retira-candidatura-a-presidencia-de-cabo-verde#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-07-27T06:00:07.629701+00:00,2026-07-26,323dc709-8bf5-4ba5-87d7-c6b0ef40e771,,Notícias ao Minuto,perturbações do espectro do autismo,media,<![CDATA[Chocante. Jogadora suspensa cinco anos por pontapear cabeça de adversária]]>,https://www.noticiasaominuto.com/desporto/3027705/chocante-jogadora-suspensa-cinco-anos-por-pontapear-cabeca-de-adversaria#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-30T06:00:09.990253+00:00,2026-08-28,323eab21-ffd9-4dd3-8bc1-489400809fd7,,Notícias ao Minuto,síndrome do ovário poliquístico,media,<![CDATA[Nepal. Peregrinação fatal ao sopé do monte sagrado Kailash]]>,https://www.noticiasaominuto.com/mundo/3042771/nepal-peregrinacao-fatal-ao-sope-do-monte-sagrado-kailash#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-06T06:00:11.012929+00:00,2026-08-05,3241b212-2956-4cd0-bc55-55c0728f7f28,,Notícias ao Minuto,candidíase,media,<![CDATA[FIFA desmente suborno de Infantino a Marrocos para apoio a recandidatura ]]>,https://www.noticiasaominuto.com/desporto/3032662/fifa-desmente-suborno-de-infantino-a-marrocos-para-apoio-a-recandidatura#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-07-20T06:00:32.933441+00:00,2026-07-09,325c54a4-3609-4766-881e-c07b550a74f7,,Sociedade Portuguesa Patologia Coluna Vertebral,demência,institucional,"Cérebro e coluna: envelhecem juntos, protegem-se juntos",https://sppcv.org/artigos-de-opiniao/cerebro-e-coluna-envelhecem-juntos-protegem-se-juntos/
2026-07-02T06:00:06.429497+00:00,2026-07-01,326f9964-b96a-4c32-ad23-73821278e1a2,,Notícias ao Minuto,candidíase,media,<![CDATA[BYD decide em breve segunda fábrica europeia. Península Ibérica candidata]]>,https://www.noticiasaominuto.com/auto/3014345/byd-decide-em-breve-segunda-fabrica-europeia-peninsula-iberica-candidata#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-14T06:00:59.21416+00:00,2026-06-01,327a7cb1-c69e-41b8-bdd6-6e901393da20,,SP Psiquiatria e Saúde Mental,perturbações do espectro do autismo,institucional,SPPSM apoia 2.ª edição da sessão formativa sobre Autismo e PHDA no Adulto,https://www.sppsm.org/sppsm-apoia-2-a-edicao-da-sessao-formativa-sobre-autismo-e-phda-no-adulto/
2026-06-07T06:00:11.351268+00:00,2026-06-06,327d6ed3-6d6e-4c6e-9d79-8cedb9886fe4,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,"<![CDATA[Eixo Ovar-Espinho terá ""boa época balnear"" apesar do impacto das tempestades]]>",https://www.noticiasaominuto.com/pais/3001407/eixo-ovar-espinho-tera-boa-epoca-balnear-apesar-do-impacto-das-tempestades#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
